ID;instrucciones;orden;ruido;tiempo
1;1;1;1;72
2;1;1;1;85,8
3;1;1;1;79,2
4;1;1;0;66
5;1;1;0;64,8
6;1;1;0;60,6
7;1;1;-1;76,2
8;1;1;-1;84,6
9;1;1;-1;81
10;0;1;1;85,2
11;0;1;1;94,8
12;0;1;1;88,2
13;0;1;0;74,4
14;0;1;0;82,8
15;0;1;0;87,6
16;0;1;-1;73,8
17;0;1;-1;89,4
18;0;1;-1;70,2
19;-1;1;1;69
20;-1;1;1;81
21;-1;1;1;61,8
22;-1;1;0;77,4
23;-1;1;0;70,2
24;-1;1;0;64,8
25;-1;1;-1;78
26;-1;1;-1;87,6
27;-1;1;-1;74,4
28;1;0;1;24,6
29;1;0;1;19,8
30;1;0;1;31,2
31;1;0;0;27
32;1;0;0;21,6
33;1;0;0;24,6
34;1;0;-1;34,8
35;1;0;-1;27
36;1;0;-1;29,4
37;0;0;1;66
38;0;0;1;75,6
39;0;0;1;70,2
40;0;0;0;21
41;0;0;0;18,6
42;0;0;0;25,8
43;0;0;-1;26,4
44;0;0;-1;22,8
45;0;0;-1;21
46;-1;0;1;26,4
47;-1;0;1;18,6
48;-1;0;1;20,4
49;-1;0;0;24
50;-1;0;0;21,5
51;-1;0;0;24
52;-1;0;-1;18
53;-1;0;-1;22,2
54;-1;0;-1;20,9
55;1;-1;1;81
56;1;-1;1;92,4
57;1;-1;1;76,8
58;1;-1;0;68,4
59;1;-1;0;72
60;1;-1;0;76,2
61;1;-1;-1;75
62;1;-1;-1;81
63;1;-1;-1;79,2
64;0;-1;1;73,2
65;0;-1;1;75,6
66;0;-1;1;76,8
67;0;-1;0;82,2
68;0;-1;0;75
69;0;-1;0;73,8
70;0;-1;-1;77,4
71;0;-1;-1;84,6
72;0;-1;-1;76,2
73;-1;-1;1;75
74;-1;-1;1;78,6
75;-1;-1;1;82,8
76;-1;-1;0;101
77;-1;-1;0;99,6
78;-1;-1;0;90,1
79;-1;-1;-1;93
80;-1;-1;-1;89,1
81;-1;-1;-1;90
