instrucciones;orden;ruido;tiempo
img;org;sil;72
img;org;sil;85,8
img;org;sil;79,2
img;org;mod;66
img;org;mod;64,8
img;org;mod;60,6
img;org;alt;76,2
img;org;alt;84,6
img;org;alt;81
tex;org;sil;85,2
tex;org;sil;94,8
tex;org;sil;88,2
tex;org;mod;74,4
tex;org;mod;82,8
tex;org;mod;87,6
tex;org;alt;73,8
tex;org;alt;89,4
tex;org;alt;70,2
vid;org;sil;69
vid;org;sil;81
vid;org;sil;61,8
vid;org;mod;77,4
vid;org;mod;70,2
vid;org;mod;64,8
vid;org;alt;78
vid;org;alt;87,6
vid;org;alt;74,4
img;pre;sil;24,6
img;pre;sil;19,8
img;pre;sil;31,2
img;pre;mod;27
img;pre;mod;21,6
img;pre;mod;24,6
img;pre;alt;34,8
img;pre;alt;27
img;pre;alt;29,4
tex;pre;sil;66
tex;pre;sil;75,6
tex;pre;sil;70,2
tex;pre;mod;21
tex;pre;mod;18,6
tex;pre;mod;25,8
tex;pre;alt;26,4
tex;pre;alt;22,8
tex;pre;alt;21
vid;pre;sil;26,4
vid;pre;sil;18,6
vid;pre;sil;20,4
vid;pre;mod;24
vid;pre;mod;21,5
vid;pre;mod;24
vid;pre;alt;18
vid;pre;alt;22,2
vid;pre;alt;20,9
img;mez;sil;81
img;mez;sil;92,4
img;mez;sil;76,8
img;mez;mod;68,4
img;mez;mod;72
img;mez;mod;76,2
img;mez;alt;75
img;mez;alt;81
img;mez;alt;79,2
tex;mez;sil;73,2
tex;mez;sil;75,6
tex;mez;sil;76,8
tex;mez;mod;82,2
tex;mez;mod;75
tex;mez;mod;73,8
tex;mez;alt;77,4
tex;mez;alt;84,6
tex;mez;alt;76,2
vid;mez;sil;75
vid;mez;sil;78,6
vid;mez;sil;82,8
vid;mez;mod;101
vid;mez;mod;99,6
vid;mez;mod;90,1
vid;mez;alt;93
vid;mez;alt;89,1
vid;mez;alt;90
